tokens,BIO
"['Тогда', 'появились', 'предположения', ',', 'что', 'Джонсон', 'уходит', '.']","['O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O']"
"['В', 'столице', 'страны', '-', 'Исламабаде', '-', 'усилены', 'меры', 'безопасности', '.']","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O']"
"['Туск', 'поднял', 'вопрос', 'об', 'отмене', 'Brexit', 'из-за', 'отставки', 'Джонсона', 'Председатель', 'Европейского', 'Совета', 'Дональт', 'Туск', 'признал', ',', 'что', 'программа', 'действий', 'по', 'выходу', 'Великобритании', 'из', 'состава', 'Евросоюза', 'не', 'прекратит', 'действовать', 'с', 'уходом', 'в', 'отставку', 'министра', 'по', 'вопросам', 'Brexit', 'Дэвида', 'Дэвиса', 'и', 'главы', 'МИД', 'Бориса', 'Джонсона', '.']","['B-PER', 'O', 'O', 'O', 'O', 'B-EVT', 'O', 'O', 'B-PER', 'O', 'B-ORG', 'I-ORG', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EVT', 'B-PER', 'I-PER', 'O', 'O', 'B-ORG', 'B-PER', 'I-PER', 'O']"
"['Через', 'несколько', 'дней', 'они', 'пожаловались', 'на', 'Асию', 'Биби', 'местному', 'мулле', 'и', 'обвинили', 'ее', 'в', 'богохульстве', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Он', 'стал', 'уже', 'вторым', 'министром', 'в', 'кабинете', 'Мэй', ',', 'ушедшим', 'в', 'отставку', 'за', 'сегодняшний', 'день', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Двое', 'известных', 'политиков', 'Пакистана', '-', 'губернатор', 'Пенджаба', 'Салман', 'Тасииар', 'и', 'министр', 'по', 'делам', 'меньшинств', 'Шахбаз', 'Бхатти', '-', 'были', 'убиты', ',', 'после', 'того', 'как', 'они', 'выступили', 'с', 'критикой', 'судебного', 'процесса', 'и', 'призвали', 'к', 'реформированию', 'законов', 'о', 'богохульстве', '.']","['O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-LOC', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Темой', 'фунта', 'заинтересовался', 'также', 'Bloomberg', '.']","['O', 'O', 'O', 'O', 'B-ORG', 'O']"
"['Дело', 'вызвало', 'большой', 'резонанс', 'в', 'мире', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Ранее', 'стало', 'известно', ',', 'что', 'премьер-министр', 'Великобритании', 'Тереза', 'Мэй', 'приняла', 'отставку', 'главы', 'МИД', 'Бориса', 'Джонсона', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'B-PER', 'I-PER', 'O', 'O', 'O', 'B-ORG', 'B-PER', 'I-PER', 'O']"
"['Официальный', 'представитель', 'МИД', 'России', 'Мария', 'Захарова', 'прокомментировала', 'отставку', 'министра', 'иностранных', 'дел', 'Великобритании', 'Бориса', 'Джонсона', '.']","['O', 'O', 'B-ORG', 'I-ORG', 'B-PER', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'B-PER', 'I-PER', 'O']"
